selamat malam	Good night
Saya benar-benar suka akan pokok sebenar berbanding dengan pokok palsu.	I really like real trees better than fake trees.
I really like real trees better than fake trees.	Saya benar-benar suka akan pokok sebenar berbanding dengan pokok palsu.
Kulit itu nampaknya lebih tulen berbanding dengan kulit ini.	That leather looks more real than this leather.
That leather looks more real than this leather.	Kulit itu nampaknya lebih tulen berbanding dengan kulit ini.
Nampakkah kamu?	Can you see?
Can you see?	Nampakkah kamu?
Saya tidak dapat mendengar kamu.	I could not hear you.
I could not hear you.	Saya tidak dapat mendengar kamu.
Dengarkah kamu?	Can you hear?
Can you hear?	Dengarkah kamu?
Saya tidak dapat dengar.	I can’t hear.
I can’t hear.	Saya tidak dapat dengar.
Saya tidak dapat tengok.	I can’t see.
I can’t see.	Saya tidak dapat tengok.
Saya tidak dapat melihat kamu.	I could not see you.
I could not see you.	Saya tidak dapat melihat kamu.
Sila ke mari.	Please come.
Please come.	Sila ke mari.
Sila lihat	Please look.
Please look.	Sila lihat
Saya sedang mendengar.	I am listening.
I am listening.	Saya sedang mendengar.
Adakah kamu sedang mendengar?	Are you listening?
Are you listening?	Adakah kamu sedang mendengar?
Saya tidak mendengar.	I am not listening.
I am not listening.	Saya tidak mendengar.
Sila dengar.	Please listen.
Please listen.	Sila dengar.
Saya terkejut.	I am surprised.
I am surprised.	Saya terkejut.
Saya tidak terkejut.	I am not surprised.
I am not surprised.	Saya tidak terkejut.
Adakah kamu sedang melihat?	Are you watching?
Are you watching?	Adakah kamu sedang melihat?
Saya tidak keliru.	I am not confused.
I am not confused.	Saya tidak keliru.
Sila pergi dahulu.	Please go ahead.
Please go ahead.	Sila pergi dahulu.
Sila berhati-hati.	Please be careful.
Please be careful.	Sila berhati-hati.
Hebatnya, betul tu!	Wow, that’s correct!
Wow, that’s correct!	Hebatnya, betul tu!
Hey! Teka berapa umur saya.	Hey! Guess how old I am.
Hey! Guess how old I am.	Hey! Teka berapa umur saya.
Um, dua puluh tujuh? Alamak, maksud saya tiga puluh tujuh.	Um, twenty seven? Oops, I mean thirty seven.
Um, twenty seven? Oops, I mean thirty seven.	Um, dua puluh tujuh? Alamak, maksud saya tiga puluh tujuh.
percuma	Free
Free	percuma
duit syiling	Coins
Coins	duit syiling
menjimat	To save
To save	menjimat
insuran	Insurance
Insurance	insuran
akaun bank	Bank account
Bank account	akaun bank
harga	Price
Price	harga
bayaran	payment
payment	bayaran
kos hidup	Cost of living
Cost of living	kos hidup
berpindah	To move
To move	berpindah
hutang	Debt
Debt	hutang
simpanan	Savings
Savings	simpanan
jauh	Far
Far	jauh
dekat	Near
Near	dekat
jualan murah	on sale
on sale	jualan murah
sewa	Rent
Rent	sewa
tidak lama lagi	soon
soon	tidak lama lagi
mahal	Expensive
Expensive	mahal
bil	Bill
Bill	bil
murah	Cheap
Cheap	murah
cukai	Tax
Tax	cukai
Sewa saya akan menjadi murah tetapi bayaran hutang saya akan menjadi lebih mahal.	Rent would be cheap, but my debt payments are more expensive.
Rent would be cheap, but my debt payments are more expensive.	Sewa saya akan menjadi murah tetapi bayaran hutang saya akan menjadi lebih mahal.
Kamu patut pindah ke rumah ibubapa kamu untuk menjimatkan duit sewa.	You should move in with your parents to save money on rent.
You should move in with your parents to save money on rent.	Kamu patut pindah ke rumah ibubapa kamu untuk menjimatkan duit sewa.
Datuk dan nenek saya tinggal terlalu jauh.	My grandparents live too far away.
My grandparents live too far away.	Datuk dan nenek saya tinggal terlalu jauh.
Kamu patut pindah ke rumah makcik kamu.	You should move in with your aunt.
You should move in with your aunt.	Kamu patut pindah ke rumah makcik kamu.
Ibubapa saya tinggal terlalu jauh.	My parents live too far away.
My parents live too far away.	Ibubapa saya tinggal terlalu jauh.
Sewa rumah saya sungguh murah.	My rent is so cheap.
My rent is so cheap.	Sewa rumah saya sungguh murah.
Bayaran insuran saya lebih mahal.	My insurance payments are more expensive.
My insurance payments are more expensive.	Bayaran insuran saya lebih mahal.
Oleh kerana kos kehidupan saya sangat mahal, saya akan berhutang tidak lama lagi.	Since my cost of living is so expensive, I’m going to have debt soon.
Since my cost of living is so expensive, I’m going to have debt soon.	Oleh kerana kos kehidupan saya sangat mahal, saya akan berhutang tidak lama lagi.
Kamu patut membeli benda-benda yang murah sahaja.	You should only buy things that are cheap.
You should only buy things that are cheap.	Kamu patut membeli benda-benda yang murah sahaja.
Insuran itu murah.	The insurance is cheap.
The insurance is cheap.	Insuran itu murah.
Berapakah insuran itu?	How much is the insurance?
How much is the insurance?	Berapakah insuran itu?
Insuran itu percuma.	The insurance is free.
The insurance is free.	Insuran itu percuma.
Berapakah cukai itu?	How much is the tax?
How much is the tax?	Berapakah cukai itu?
Berapakah bil itu?	How much is the bill?
How much is the bill?	Berapakah bil itu?
Kamu patut membeli benda-benda diskaun sahaja untuk menjimat lebih banyak duit.	To save more money, you should only buy things that are on sale.
To save more money, you should only buy things that are on sale.	Kamu patut membeli benda-benda diskaun sahaja untuk menjimat lebih banyak duit.
Sesuatu itu murah jika ia tidak begitu mahal.	Something is cheap if it’s not expensive.
Something is cheap if it’s not expensive.	Sesuatu itu murah jika ia tidak begitu mahal.
Cukai adalah kira-kira sepuluh peratus daripada bil itu.	Tax is about ten percent of the bill.
Tax is about ten percent of the bill.	Cukai adalah kira-kira sepuluh peratus daripada bil itu.
Cukai adalah kira-kira sepuluh peratus daripada harga itu.	Tax is about ten percent of the price.
Tax is about ten percent of the price.	Cukai adalah kira-kira sepuluh peratus daripada harga itu.
Saya akan berpindah ke Paris tidak lama lagi untuk menjimatkan duit sewa.	I’ll move to Paris soon to save money on rent.
I’ll move to Paris soon to save money on rent.	Saya akan berpindah ke Paris tidak lama lagi untuk menjimatkan duit sewa.
Murah ialah kata lawan mahal.	Cheap is the opposite of expensive.
Cheap is the opposite of expensive.	Murah ialah kata lawan mahal.
Saya akan berpindah ke Paris tidak lama lagi untuk menjimatkan duit kos kehidupan.	I’ll move to Paris soon to save money on cost of living.
I’ll move to Paris soon to save money on cost of living.	Saya akan berpindah ke Paris tidak lama lagi untuk menjimatkan duit kos kehidupan.
Saya tidak boleh membeli makanan yang mahal.	I can’t buy expensive food.
I can’t buy expensive food.	Saya tidak boleh membeli makanan yang mahal.
Saya ingin membeli sebuah pangsapuri yang dekat dengan tempat kerja.	I want to buy an apartment near to work.
I want to buy an apartment near to work.	Saya ingin membeli sebuah pangsapuri yang dekat dengan tempat kerja.
Ia adalah susah untuk mencari insuran yang murah.	It’s hard to find cheap insurance.
It’s hard to find cheap insurance.	Ia adalah susah untuk mencari insuran yang murah.
Ia adalah susah untuk mecari insuran yang bagus.	It’s hard to find good insurance.
It’s hard to find good insurance.	Ia adalah susah untuk mecari insuran yang bagus.
Saya tidak boleh membeli insuran yang mahal.	I can’t buy expensive insurance.
I can’t buy expensive insurance.	Saya tidak boleh membeli insuran yang mahal.
Saya ingin mencari sebuah pangsapuri yang dekat dengan tempat kerja.	I want to find an apartment near to work.
I want to find an apartment near to work.	Saya ingin mencari sebuah pangsapuri yang dekat dengan tempat kerja.
budaya	
	budaya
mengurangkan	To reduce
To reduce	mengurangkan
pertanyaan	question
question	pertanyaan
terlalu	Too
Too	terlalu
kualiti	Quality
Quality	kualiti
kad kredit	Credit Card
Credit Card	kad kredit
bertanya	to ask
to ask	bertanya
faedah	Interest
Interest	faedah
menandatangani	To sign
To sign	menandatangani
tip	Tip
Tip	tip
berhutang	To owe
To owe	berhutang
pinjaman	Loan
Loan	pinjaman
bulanan	monthly
monthly	bulanan
tahunan	Yearly
Yearly	tahunan
Asia	Asian
Asian	Asia
asing	Separate
Separate	asing
bersama	together
together	bersama
kontrak	Contract
Contract	kontrak
membayar	To pay
To pay	membayar
meminjam	to borrow
to borrow	meminjam
mungkin	Possible
Possible	mungkin
Ia adalah lebih murah untuk membeli pelan tahunan.	It’s cheaper to buy the yearly plan.
It’s cheaper to buy the yearly plan.	Ia adalah lebih murah untuk membeli pelan tahunan.
Kereta saya berharga enam ribu tujuh ratus euro.	The price of my car was six thousand seven hundred euros.
The price of my car was six thousand seven hundred euros.	Kereta saya berharga enam ribu tujuh ratus euro.
Kereta saya murah tetapi berkualiti buruk.	My car was cheap but bad quality.
My car was cheap but bad quality.	Kereta saya murah tetapi berkualiti buruk.
Berapakah harga kereta anda?	How much was your car?
How much was your car?	Berapakah harga kereta anda?
Kereta saya murah tetapi berkualiti baik.	My car was cheap but good quality.
My car was cheap but good quality.	Kereta saya murah tetapi berkualiti baik.
Berapakah faedahnya jika saya mengambil pinjaman sepuluh ribu dolar?	How much interest is it if I get a ten thousand dollar loan?
How much interest is it if I get a ten thousand dollar loan?	Berapakah faedahnya jika saya mengambil pinjaman sepuluh ribu dolar?
Adakah ia lebih murah untuk membayar bil telefon bulanan atau tahunan?	Is it cheaper to pay the phone bill monthly or yearly?
Is it cheaper to pay the phone bill monthly or yearly?	Adakah ia lebih murah untuk membayar bil telefon bulanan atau tahunan?
Ada kontrak mingguan?	Is there a weekly contract?
Is there a weekly contract?	Ada kontrak mingguan?
Kamu boleh membeli pelan mingguan itu.	You may buy the weekly plan.
You may buy the weekly plan.	Kamu boleh membeli pelan mingguan itu.
Ada kontrak mingguan tetapi ia adalah lebih mahal.	There is a weekly contract, but it’s more expensive.
There is a weekly contract, but it’s more expensive.	Ada kontrak mingguan tetapi ia adalah lebih mahal.
Tiga puluh lima euro ok ke?	Is thirty five euros okay?
Is thirty five euros okay?	Tiga puluh lima euro ok ke?
Ada kontrak bulanan?	Is there a monthly contract?
Is there a monthly contract?	Ada kontrak bulanan?
Kamu boleh membeli pelan bulanan tetapi pelan tahunan adalah lebih murah.	You may buy the monthly contract, but the yearly contract is cheaper.
You may buy the monthly contract, but the yearly contract is cheaper.	Kamu boleh membeli pelan bulanan tetapi pelan tahunan adalah lebih murah.
Bolehkah harga itu dikurangkan?	Is it possible to reduce the price?
Is it possible to reduce the price?	Bolehkah harga itu dikurangkan?
Tidak, itu mustahil.	No, that is not possible.
No, that is not possible.	Tidak, itu mustahil.
Bayaran bulanan adalah dua puluh lapan dolar.	The monthly payment would be twenty eight dollars.
The monthly payment would be twenty eight dollars.	Bayaran bulanan adalah dua puluh lapan dolar.
Berapakah bayaran bulanan itu?	How much is the monthly payment?
How much is the monthly payment?	Berapakah bayaran bulanan itu?
Jika kamu membeli pelan ini, bayaran tahunan akan menjadi tiga puluh dua euro.	If you were to buy this plan, the yearly payment would be thirty two euros.
If you were to buy this plan, the yearly payment would be thirty two euros.	Jika kamu membeli pelan ini, bayaran tahunan akan menjadi tiga puluh dua euro.
Bolehkah kami membayar secara berasingan?	Could we pay separate please?
Could we pay separate please?	Bolehkah kami membayar secara berasingan?
Bolehkah kami membayar sekali?	Could we pay together please?
Could we pay together please?	Bolehkah kami membayar sekali?
Kamu akan membayar secara berasingan atau sekaligus?	Will you pay separate or together?
Will you pay separate or together?	Kamu akan membayar secara berasingan atau sekaligus?
Sila baca dan sain di sini.	Please read and sign here.
Please read and sign here.	Sila baca dan sain di sini.
Kami hendak membayar secara berasingan.	We want to pay separate.
We want to pay separate.	Kami hendak membayar secara berasingan.
Patutkah saya memberi tip?	Should I give a tip?
Should I give a tip?	Patutkah saya memberi tip?
Saya ingin bertanya tentang kad kredit.	I have a question about getting a credit card.
I have a question about getting a credit card.	Saya ingin bertanya tentang kad kredit.
Saya ingin bertanya tentang pinjaman.	I have a question about getting a contract.
I have a question about getting a contract.	Saya ingin bertanya tentang pinjaman.
Kami hendak membayar sekaligus.	We want to pay together.
We want to pay together.	Kami hendak membayar sekaligus.
Dalam budaya Asia, tip biasanya tidak diberi.	In the Asian culture, tips are not usually given.
In the Asian culture, tips are not usually given.	Dalam budaya Asia, tip biasanya tidak diberi.
memesan	To order
To order	memesan
pusat membeli-belah	Mall
Mall	pusat membeli-belah
kedai elektronik	Electronics store
Electronics store	kedai elektronik
kedai runcit	Grocery store
Grocery store	kedai runcit
membeli	To buy
To buy	membeli
sesuatu	Something
Something	sesuatu
makanan segera	Fast food
Fast food	makanan segera
internet	Internet
Internet	internet
dompet	Purse/Wallet
Purse/Wallet	dompet
makanan Cina	Chinese food
Chinese food	makanan Cina
belum	Not yet
Not yet	belum
tempat	Somewhere
Somewhere	tempat
mengembalikan	To refund
To refund	mengembalikan
makanan Itali	Italian food
Italian food	makanan Itali
membeli-belah	To shop
To shop	membeli-belah
membuat keputusan	To decide
To decide	membuat keputusan
pasar	Market
Market	pasar
lambat	Slow
Slow	lambat
kedai serbaneka	Convenience Store
Convenience Store	kedai serbaneka
kedai	Store
Store	kedai
kedai gula-gula	Candy Store
Candy Store	kedai gula-gula
stesen minyak	Gas station
Gas station	stesen minyak
Saya belum membuat keputusan lagi.	I have not yet decided.
I have not yet decided.	Saya belum membuat keputusan lagi.
Saya sudah membuat keputusan.	I have decided.
I have decided.	Saya sudah membuat keputusan.
Dia hendak memesan pizza.	She wants to order a pizza.
She wants to order a pizza.	Dia hendak memesan pizza.
Sudahkah kamu memutuskan untuk membeli apa?	Have you decided what you want to buy?
Have you decided what you want to buy?	Sudahkah kamu memutuskan untuk membeli apa?
Saya hendak membeli makanan Cina.	I want to buy Chinese food.
I want to buy Chinese food.	Saya hendak membeli makanan Cina.
Sudahkah kamu memutuskan untuk memesan apa?	Have you decided what you want to order?
Have you decided what you want to order?	Sudahkah kamu memutuskan untuk memesan apa?
Saya hendak memesan makanan Cina.	I want to order Chinese food.
I want to order Chinese food.	Saya hendak memesan makanan Cina.
Ken tidak mahu makanan Cina.	Ken does not want Chinese food.
